"X","Y","species","ID","diam1","status.x","diam2","status.y","growth","surv","size_class","n_con","n_het","BAc5","BAh5","BAc10","BAh10","BAc15","BAh15","BAc20","BAh20","gap","myc","shade","drought","waterlogging","diameter","count","habit","ph","tec","org","alt","tecat","camg","cations"
20,38.5,"QUAL",744,2.9,1,4.3,1,0.175,1,"sap",0,8,0,5448.181,0,7856.558,0,22737.44,637.9397,35453.01,29.28369,"ecm",2.85,3.56,1.43,7.020213,282,"tree",5.740443,12.91637,8.530859,-3.28217633169481,75.4071633463612,5.76343079512383,-0.0172111855569899
20,57.4,"NYSY",796,2.2,1,3.7,1,0.1875,1,"seed",0,0,0,3843.228,0,10189.98,0,15054.46,0,29633.48,32.655,"other",3.52,2,1.87,4.075186,403,"tree",5.578081,13.22156,8.462303,-3.46257937104156,70.9058655212724,5.71520190763561,-0.0371754941340574
20,83.3,"MORU",877,3.3,1,NA,3,NA,0,"sap",2,10,0,3429.637,0,12595.31,0,27786.84,0,34755.82,36.0581,"am",2.34,2.88,1.57,2.919271,192,"tree",5.72703,13.31355,8.407638,-3.69551459519497,74.6184203787553,5.59178551889396,-0.0299363569925566
20,137.5,"NYSY",1002,3.1,1,NA,6,NA,1,"sap",0,9,0,1541.336,0,7683.228,0,23449,0,46796.14,32.62076,"other",3.52,2,1.87,4.075186,403,"tree",5.82437,11.13008,8.443428,-2.92525613566103,77.5534611548022,5.15336175846314,-0.0276974259104474
20,161.1,"FAGR",1097,8.3,1,9,1,0.0875,1,"sap",1,2,0,3612.69,601.5129,9855.27,792.6474,27799.47,1354.403,48647.57,27.06522,"ecm",4.75,1.5,1.5,4.154795,146,"tree",6.273015,11.12758,8.522585,-1.97453376020522,87.6298618029107,4.90866852278808,0.0257018826699098
20,229.3,"COFL",1243,2.4,1,NA,3,NA,0,"seed",4,0,221.231,4150.837,469.0712,13446.08,891.9688,30472.56,1081.14,47741.44,36.59389,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.362808,9.099456,8.959187,0.944659948876951,65.9022645202788,4.15295783850852,-0.0606199999080998
20.1,25.5,"CACR",675,5,1,7.3,1,0.2875,1,"sap",0,11,0,1468.577,0,11203.82,0,27885,0,45581.74,23.68526,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.85625,12.78448,8.590825,-3.15766708770714,78.3526544691927,5.77643144225388,-0.00197121815144129
20.1,129.8,"ACRU",1003,8.1,1,9.5,1,0.175,1,"sap",3,7,0,1725.622,283.5287,9226.677,283.5287,22615.52,283.5287,42027.13,33.04022,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.639421,11.344,8.424736,-3.17722002781313,72.8622084834164,5.22856719909672,-0.0445452689603213
20.1,129.9,"ACRU",1004,5.1,1,5,1,-0.0125,1,"sap",3,7,0,1725.622,283.5287,6763.668,283.5287,22615.52,283.5287,42027.13,33.04693,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.641399,11.34046,8.424937,-3.17416147911648,72.9137098927241,5.22762266205669,-0.0443735270758469
20.1,155.4,"CATO",1057,2.8,1,3.4,1,0.075,1,"sap",0,2,0,3426.998,0,11085.06,0,21911.84,0,49721.79,28.73266,"ecm",2.2,3,1.26,3.308163,147,"tree",6.200809,11.05809,8.498752,-2.21300906643133,86.2053628047628,4.97048417335768,0.0157372136674863
20.1,163.7,"COFL",1098,4.1,1,NA,2,NA,0,"sap",2,2,0,2233.185,449.9075,8560.204,449.9075,29600.1,449.9075,46221.09,26.20095,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.285036,11.16138,8.532392,-1.85958258219919,87.8264561849833,4.88119930847657,0.0276902868932262
20.1,174.9,"FAGR",1099,3,1,5,1,0.25,1,"sap",0,3,0,1942.368,219.0397,10441.58,219.0397,25856.49,601.5129,51162.31,24.38005,"ecm",4.75,1.5,1.5,4.154795,146,"tree",6.257013,11.28633,8.585167,-1.38257300772079,86.8070803542556,4.75787063123484,0.0281669793662893
20.2,63.7,"FRAX",797,6.1,1,6.6,1,0.0625,1,"sap",1,4,0,1905.101,1075.187,4153.515,1291.611,17790.2,1824.001,31119.67,34.30195,"am",2.98,NA,NA,3.303949,785,"tree",5.554706,13.31093,8.44279,-3.52217304665538,70.2368674016668,5.69346073818739,-0.0392492195912236
20.2,70.1,"ACRU",838,11.9,1,12.3,1,0.05,1,"sap",0,3,0,181.4584,3843.589,2989.587,3843.589,15646.26,6059.3,31005.31,35.84252,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.608686,13.3696,8.427729,-3.58610735133829,71.6162179546748,5.66498249865056,-0.0358860724511511
20.2,94.2,"ACRU",879,5.6,1,6.1,6,0.0625,1,"sap",3,5,0,3589.497,0,14731.89,2215.71,23943.44,5244.967,34652.71,32.81513,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.807702,13.0178,8.396275,-3.72235021535589,76.8543726695791,5.52362683650231,-0.0262096788247506
20.2,210.6,"CACR",1208,2.3,1,2.7,1,0.05,1,"seed",0,0,0,943.2553,0,8062.301,25.2427,22322.03,37.15719,43723.93,30.23127,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.832227,10.27419,8.807243,0.108785717769914,77.6956533803812,4.35774159405112,-0.0126885389829481
20.2,228.3,"COFL",1245,3.4,1,4.4,1,0.125,1,"sap",9,1,0,4141.758,0,12445.72,165.13,29267.01,165.13,46726.42,35.28569,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.389263,9.155796,8.947959,0.899840705670978,66.5978425822913,4.16417691117183,-0.0578723061177193
20.2,231.1,"COFL",1246,2.4,1,NA,3,NA,0,"seed",3,0,115.6656,3985.707,469.0712,11567.64,648.4797,29152.71,1071.519,47805.32,38.87239,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.313688,8.993993,8.971967,1.02946241389457,64.5927764258789,4.13433774541603,-0.065571609244207
20.3,29.5,"COFL",676,5.8,1,5.4,1,-0.05,1,"sap",2,12,0,4418.257,0,12385.13,0,25631.31,0,39640.9,25.82415,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.826964,12.81983,8.569105,-3.18485983951022,77.6788448482337,5.77713477619721,-0.00531069632129563
20.3,124.8,"CECA",945,3.9,1,4.9,1,0.125,1,"sap",0,5,0,1929.362,0,9544.064,0,21394.77,0,46090.41,32.24855,"am",3,4.05,1.31,2.754654,924,"shrub-tree",5.55731,11.53491,8.413262,-3.3132500270228,70.6302404108829,5.27691695960589,-0.0504865612968443
20.3,168.7,"OXAR",1101,2.7,1,4,1,0.1625,1,"sap",1,1,141.0261,746.7487,487.3867,7109.621,487.3867,26803.83,874.5723,49894.89,24.70487,"eric",2.7,3,1.12,5.112033,482,"shrub-tree",6.288907,11.22483,8.552414,-1.63872606446683,87.7459208882915,4.82783683128652,0.0293464371649992
20.4,80.6,"CAOV",880,3.1,1,3.5,1,0.05,1,"sap",0,10,0,3926.095,0,10715.41,0,27789.28,1000.982,39606.03,36.33343,"ecm",3.4,3,1.38,2.205929,624,"tree",5.692802,13.33833,8.407012,-3.6709306351948,73.7877475751007,5.61208462339033,-0.0319562550885479
20.5,91.3,"ACRU",881,4.8,1,5.6,1,0.1,1,"sap",2,7,0,5391.523,1152.093,15276.68,5244.967,25986.42,5244.967,32398.6,34.19665,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.810237,13.10494,8.394724,-3.71478000165157,76.8848853580011,5.54661197790621,-0.0253932776422558
20.5,101.5,"ACRU",918,6.4,1,7.1,1,0.0875,1,"sap",0,2,0,3836.584,0,9882.5,0,25052.48,2215.71,34383.04,28.7463,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.717856,12.69919,8.391396,-3.69094482143126,74.3926338458603,5.47404946797433,-0.0339984189840717
20.5,216.2,"COFL",1210,2.4,1,3.3,1,0.1125,1,"seed",0,0,0,1915.248,49.4094,4989.43,707.0861,16514.87,962.1913,46585.14,28.17456,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.699944,9.920138,8.845678,0.356604707337436,74.4439314001561,4.29679561923641,-0.0263214221799221
20.6,56.4,"ACRU",798,2.7,1,3.3,1,0.075,1,"sap",2,7,814.3322,2714.124,814.3322,8284.011,814.3322,12907.41,814.3322,26266.18,32.35532,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.595202,13.20108,8.459459,-3.43617355878622,71.3560938602835,5.72580144390432,-0.0358938273050375
20.6,150.7,"CACR",1059,2.4,1,NA,4,NA,1,"seed",1,0,15.11106,2632.458,168.2637,9238.395,225.5506,23172.33,467.9167,50460.83,29.841,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",6.121315,11.01338,8.475735,-2.38937051240254,84.5530608328416,5.02397085881815,0.00490878956941991
20.6,207.3,"MORU",1168,2.1,1,3.3,1,0.15,1,"seed",0,0,9.621128,1911.204,19.24226,11219.56,19.24226,23397.52,47.51659,41204.56,31.49365,"am",2.34,2.88,1.57,2.919271,192,"tree",5.872202,10.46425,8.777888,-0.0253391108911489,78.6219584000471,4.39622242679478,-0.00753521728771961
20.7,93.7,"ACRU",882,2.9,1,3.5,1,0.075,1,"sap",3,4,0,3589.497,1152.093,15068.01,2215.71,24916.58,5244.967,35702.71,32.90136,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.807635,13.0166,8.391141,-3.71141148317819,76.8874142698364,5.53246991243467,-0.0259544603045325
20.7,165.9,"OXAR",1104,11.8,1,12.3,1,0.0625,1,"sap",1,6,141.0261,1849.134,487.3867,8651.711,487.3867,31189.74,874.5723,45847.68,25.48102,"eric",2.7,3,1.12,5.112033,482,"shrub-tree",6.288073,11.18202,8.534645,-1.74351221335237,87.8258868677845,4.8613815768586,0.0283641710071408
20.8,93.6,"COFL",883,3.7,1,3.7,1,0,1,"sap",0,7,0,3589.497,0,16220.1,0,27132.29,0,41948.16,32.91892,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.807681,13.01635,8.39012,-3.70912981173058,76.8954223604654,5.53424015316299,-0.0259001523812438
20.8,230.1,"COFL",1247,2.6,1,3.4,1,0.1,1,"sap",8,1,0,3976.628,0,11948.3,165.13,30416.14,165.13,46147.15,37.55871,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.337994,9.042755,8.955224,0.987047187416484,65.2258520408064,4.14655301564865,-0.0629816598632795
20.9,129.8,"CAOV",1005,2.2,1,2.2,1,0,1,"seed",0,1,524.0569,1519.4,634.3347,9332.588,657.2369,24313.51,667.989,46304.16,32.82218,"ecm",3.4,3,1.38,2.205929,624,"tree",5.633879,11.31536,8.415434,-3.1472713916794,72.7067937268627,5.23585252270832,-0.0446642014588182
21.2,58.9,"FRAX",799,11.9,1,12.2,1,0.0375,1,"sap",1,7,1075.187,2453.27,1075.187,7806.732,1689.219,12369.06,1689.219,27901.8,32.89153,"am",2.98,NA,NA,3.303949,785,"tree",5.59802,13.23443,8.44609,-3.44615431522425,71.3931223962207,5.72405606616251,-0.0359178757661292
21.2,222.9,"COFL",1211,2.1,1,2.8,1,0.0875,1,"seed",2,1,33.18307,4637.446,287.4243,9180.291,856.5945,24749.73,1170.133,45994.7,29.552,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.521092,9.479179,8.889586,0.66231772644963,69.9753018035136,4.22555913194187,-0.0440265399281433
21.3,27.2,"CAGL",677,2.7,1,3.2,1,0.0625,1,"sap",0,15,0,336.5353,0,13015.48,0,27375.09,0,42595.57,23.93512,"ecm",2.69,4,1.16,6.815116,86,"tree",5.862472,12.8157,8.571503,-3.10522723559278,78.4843533654956,5.79065646567827,-0.00210674455825597
21.3,130.4,"CACR",1006,3.4,1,4.2,1,0.1,1,"sap",4,6,0,1725.622,0,8865.347,149.5712,22376.06,149.5712,45828.14,32.74668,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.64345,11.28061,8.412,-3.11313602047908,72.9498583114263,5.23379736863447,-0.0436637941524581
21.3,233.7,"COFL",1248,2.1,1,3.9,1,0.225,1,"seed",1,0,200.4572,859.9796,402.5872,18545.04,557.4363,32516.29,1011.789,47641.9,41.74066,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.251498,8.8383,8.97976,1.15593411052508,62.9226986043138,4.10953010257865,-0.0717614432253517
21.4,31.7,"CATO",678,5.4,1,7.3,1,0.2375,1,"sap",5,9,0,4755.39,0,13541.54,0,25700.69,0,39633.15,26.41656,"ecm",2.2,3,1.26,3.308163,147,"tree",5.829214,12.85464,8.548617,-3.14789819570426,77.6918332568608,5.78896607873678,-0.00625542728999157
21.4,134,"CACR",1007,6,1,7,1,0.125,1,"sap",5,9,0,2748.21,0,8732.324,0,21339.86,149.5712,42903.6,32.76737,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.726889,11.1677,8.41856,-2.99187874771165,75.083739145494,5.19997944003716,-0.036134572058983
21.5,34,"CATO",746,3.6,1,4.1,1,0.0625,1,"sap",6,8,0,4755.39,0,8346.159,0,22015.41,0,38883.6,27.49203,"ecm",2.2,3,1.26,3.308163,147,"tree",5.811644,12.87835,8.536977,-3.16713661479703,77.2328220050075,5.78788029992714,-0.0087852493868112
21.5,59,"QUAL",800,8.5,1,9.6,1,0.1375,1,"sap",1,7,0,3528.456,0,9098.343,637.9397,14189.79,637.9397,28953.08,32.86956,"ecm",2.85,3.56,1.43,7.020213,282,"tree",5.605435,13.2331,8.442863,-3.4387122895614,71.5803748090833,5.72725564974485,-0.0354172889996632
21.6,26.3,"ACRU",679,4.1,1,6.2,1,0.2625,1,"sap",2,9,0,488.282,543.2521,12472.23,543.2521,24766.77,772.9103,41822.66,23.2544,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.873382,12.81376,8.573398,-3.07749787033688,78.724378114588,5.79468798974501,-0.00105673020236766
21.6,120.8,"ACRU",948,2.5,1,3.6,1,0.1375,1,"seed",0,0,30.42632,4739.477,177.8063,13339.16,274.6694,18887.95,714.7673,46293.31,30.79268,"am",3.44,1.84,3.08,3.795745,1927,"tree",5.502337,11.66839,8.392395,-3.36731122815288,69.0760430466314,5.32552747470341,-0.052979250453351
